name,latitude,longitude,locality,region,postcode,address,date_closed
Convivium Coffee,45.586549648773726,-122.72803112518432,Portland,OR,97203,8900 N Wall Ave,
Re-A Coffee Pub,45.534426894031206,-122.48596293260965,Portland,OR,97230,1590 NE 172nd Ave,
Coffee Angels,45.58049390950207,-122.67511577112009,Portland,OR,97217,844 N Winchell St,
Prince Coffee,45.54855611546275,-122.61652465319212,Portland,OR,97213,4523 NE Fremont St,
Boyds Coffee - Cultural District,45.516436661107065,-122.68405133787034,Portland,OR,97205,1229 SW 10th Ave,
Khora (Kôra) Coffeehouse,45.52322475332984,-122.64781557522043,Portland,OR,97232,15 NE 18th Ave,
Ristretto Roasters,45.52534766409408,-122.6842243092802,Portland,OR,97209,1355 NE Everett St,2019-01-10
Peets Coffee & Tea,45.589161,-122.593577,Portland,OR,97218,Main Terminal,
Coffee Passion Drive-Thru,45.505103180764536,-122.62219093452488,Portland,OR,97214,2440 SE Cesar E Chavez Blvd,
Wired Coffee,45.508306333449866,-122.62274531613288,Portland,OR,97214,2035 SE Cesar E Chavez Blvd,2005-12-16
Blue Tiger Coffee Service,45.57734983622121,-122.69136950702737,Portland,OR,97217,2361 N Lombard St Ste B,
Less & More Coffee,45.5182096569466,-122.67962136447098,Portland,OR,97204,811 SW 6th Ave,
Aurora Coffeehouse,45.54631208718771,-122.79205698072279,Portland,OR,97229,11200 NW Thompson Rd,
Mocha Mommas Good Coffee Cafe,45.478346,-122.649216,Portland,OR,97202,6116 SE Milwaukie Ave,2015-08-24
Dutch Bros Coffee,45.518707287940536,-122.49605800967468,Portland,OR,97233,16222 SE Stark St,
Rose City Coffee Company,45.47144297875775,-122.64867112051205,Portland,OR,97202,7325 SE Milwaukie Ave,2023-05-29
Pier Coffee,45.52821567918865,-122.67288637251434,Portland,OR,97209,600 NW Naito Pkwy Ste C,2024-05-25
Scott Coffee Drywall,45.413219058552926,-122.6042008943647,Portland,OR,97267,15161 SE Hickory Ct,
Futura Coffee Roasters,45.526635507792705,-122.58852410726166,Portland,OR,97213,,
Coffee Cabana,45.51834548295471,-122.51352971356981,Portland,OR,97233,,
Coava Coffee Bar,45.524843,-122.679987,Portland,OR,97209,830 NW Everett St (inside LCP),2013-07-10
Roseline Coffee,45.51554111643285,-122.65487686638276,Portland,OR,97214,1015 SE 11th Ave,
City Coffee,45.51680007140103,-122.67718862574837,Portland,OR,97204,932 SW 4th Ave,2019-04-17
Urban Grind Coffeehouse,45.52945050259119,-122.68541664647202,Portland,OR,97209,911 NW 14th Ave,
Black Rock Coffee,45.46548915268417,-122.7549906067681,Portland,OR,97223,7570 SW Garden Home Rd,
Haven Coffee,45.50485,-122.627546,Portland,OR,97202,3551 SE Division St,2011-05-19
Bebos Coffee,45.54561038864655,-122.57914865464967,Portland,OR,97220,3211 NE 82nd Ave,
Juniors Roasted Coffee,45.54836497836997,-122.64130992547372,Portland,OR,97212,2393 NE Fremont St Ste B,
Cartography Coffee,45.51920045211276,-122.67091365571915,Portland,OR,,,
Coffee Care Unit,45.543645,-122.669787,Portland,OR,97227,,
Goldrush Coffee Bar,45.54098439049934,-122.66173375553004,Portland,OR,97212,2601 NE M L King Blvd,2022-04-09
Roseline Coffee,45.559247997817266,-122.64730248652454,Portland,OR,97211,1725 NE Alberta St,
Good Coffee,45.520384,-122.680295,Portland,OR,97205,813 SW Alder St,
Dancing Beans Coffee House,45.51132045005339,-122.65387332131638,Portland,OR,97214,1615 SE 12th Ave,
